Left,Right,Date
Bradley Braves,IUPUI Jaguars,11/11/2017
Ohio Bobcats,Alabama A&M Bulldogs,11/11/2017
Western Michigan Broncos,Siena Heights Saints,11/11/2017
Quinnipiac Bobcats,Dartmouth Big Green,11/11/2017
Brown Bears,Johnson & Wales (RI) Wildcats,11/11/2017
Drake Bulldogs,Coe Kohawks,11/11/2017
La Salle Explorers,Saint Peter's Peacocks,11/11/2017
Longwood Lancers,Stephen F. Austin Lumberjacks,11/11/2017
Appalachian State Mountaineers,Toccoa Falls Eagles,11/11/2017
Little Rock Trojans,Ouachita Baptist Tigers,11/11/2017
UC Santa Barbara Gauchos,North Dakota State Bison,11/11/2017
Duquesne Dukes,St. Francis Brooklyn Terriers,11/11/2017
NJIT Highlanders,Wagner Seahawks,11/11/2017
Akron Zips,Cleveland State Vikings,11/11/2017
Elon Phoenix,William Peace Pacers,11/11/2017
Marist Red Foxes,Lehigh Mountain Hawks,11/11/2017
UNCW Seahawks,North Carolina Wesleyan Battling Bishops,11/11/2017
Presbyterian Blue Hose,Johnson (TN) Royals,11/11/2017
Toledo Rockets,Saint Joseph's Hawks,11/11/2017
South Dakota Coyotes,Mayville State Comets,11/11/2017
Sam Houston State Bearkats,Texas-Tyler Patriots,11/11/2017
UT Arlington Mavericks,Loyola Marymount Lions,11/11/2017
Western Illinois Leathernecks,St. Mary's (MN) Cardinals,11/11/2017
BYU Cougars,Mississippi Valley State Delta Devils,11/11/2017
New Mexico Lobos,Northern New Mexico Eagles,11/11/2017
Youngstown State Penguins,Kent State Golden Flashes,11/11/2017
UNLV Runnin' Rebels,Florida A&M Rattlers,11/11/2017
Portland Pilots,Portland State Vikings,11/11/2017
Northern Kentucky Norse,Wilmington (OH) Quakers,11/12/2017
Massachusetts-Lowell River Hawks,Massachusetts-Boston Beacons,11/12/2017
Eastern Michigan Eagles,Michigan-Dearborn Wolves,11/12/2017
Harvard Crimson,Massachusetts Minutemen,11/12/2017
Mercer Bears,Toccoa Falls Eagles,11/12/2017
Wofford Terriers,Washington & Lee Generals,11/12/2017
Loyola Chicago Ramblers,Eureka Red Devils,11/12/2017
USC Upstate Spartans,Allen Yellow Jackets,11/12/2017
South Dakota State Jackrabbits,University of Mary Marauders,11/12/2017
Appalachian State Mountaineers,Bridgewater (VA) Eagles,11/12/2017
Air Force Falcons,Texas State Bobcats,11/12/2017
Boise State Broncos,Southern Utah Thunderbirds,11/12/2017
Hartford Hawks,Gordon College Fighting Scots,11/12/2017
Northeastern Huskies,Wentworth Leopards,11/12/2017
Fort Wayne Mastodons,Defiance Yellow Jackets,11/12/2017
UMKC Kangaroos,Haskell Fighting Indians,11/12/2017
San Jose State Spartans,San Diego Toreros,11/12/2017
Hampton Pirates,Bluefield College Ramblin' Rams,11/12/2017
Central Arkansas Bears,University of the Ozarks Eagles,11/12/2017
Lipscomb Bisons,Morehead State Eagles,11/12/2017
Northwestern State Demons,LeTourneau YellowJackets,11/12/2017
Denver Pioneers,UC Irvine Anteaters,11/12/2017
Seattle Redhawks,Puget Sound Loggers,11/12/2017
Troy Trojans,UAPB Golden Lions,11/12/2017
Hawaii Rainbow Warriors,North Dakota Fighting Hawks,11/12/2017
Evansville Aces,North Carolina Central Eagles,11/13/2017
Richmond Spiders,Jacksonville State Gamecocks,11/13/2017
Boston University Terriers,Albany Great Danes,11/13/2017
Bowling Green Falcons,South Dakota Coyotes,11/13/2017
Campbell Fighting Camels,Columbia International Rams,11/13/2017
Cornell Big Red,Binghamton Bearcats,11/13/2017
Detroit Titans,Michigan-Dearborn Wolves,11/13/2017
Drexel Dragons,Arcadia University Knights,11/13/2017
Fordham Rams,LIU Brooklyn Blackbirds,11/13/2017
Hofstra Pride,Kennesaw State Owls,11/13/2017
UNC Asheville Bulldogs,Lees-McRae Bobcats,11/13/2017
Oakland Golden Grizzlies,New Orleans Privateers,11/13/2017
Penn Quakers,La Salle Explorers,11/13/2017
Siena Saints,FGCU Eagles,11/13/2017
Towson Tigers,Frostburg State Bobcats,11/13/2017
VCU Rams,North Florida Ospreys,11/13/2017
Norfolk State Spartans,Lynchburg Hornets,11/13/2017
Savannah State Tigers,East Tennessee State Buccaneers,11/13/2017
Quinnipiac Bobcats,Brown Bears,11/13/2017
IUPUI Jaguars,Anderson (IN) Ravens,11/13/2017
Georgia Southern Eagles,Bakersfield Roadrunners,11/13/2017
Arkansas State Red Wolves,Abilene Christian Wildcats,11/13/2017
UIC Flames,Saint Joseph's Hawks,11/13/2017
McNeese State Cowboys,Ecclesia Royals,11/13/2017
UNI Panthers,Alcorn State Braves,11/13/2017
Samford Bulldogs,Alabama A&M Bulldogs,11/13/2017
Tennessee State Tigers,Reinhardt Eagles,11/13/2017
Texas-Rio Grande Valley Vaqueros,Bethune-Cookman Wildcats,11/13/2017
Valparaiso Crusaders,Trinity Christian Trolls,11/13/2017
Incarnate Word Cardinals,Trinity (TX) Tigers,11/13/2017
South Alabama Jaguars,Mobile Rams,11/13/2017
Northern Arizona Lumberjacks,Embry-Riddle Arizona Eagles,11/13/2017
Saint Louis Billikens,Rockhurst Hawks,11/13/2017
Grand Canyon Antelopes,Robert Morris Colonials,11/13/2017
Northern Colorado Bears,UC Davis Aggies,11/13/2017
Utah State Aggies,Montana State Bobcats,11/13/2017
UAPB Golden Lions,North Dakota Fighting Hawks,11/13/2017
Fresno State Bulldogs,CSUN Matadors,11/13/2017
Idaho Vandals,George Fox Bruins,11/13/2017
San Francisco Dons,Saint Francis U Red Flash,11/13/2017
Nevada Wolf Pack,Rhode Island Rams,11/13/2017
Hawaii Rainbow Warriors,Troy Trojans,11/14/2017
Air Force Falcons,Canisius Golden Griffins,11/14/2017
Army West Point Black Knights,John Jay Bloodhounds,11/14/2017
Dartmouth Big Green,Emerson Lions,11/14/2017
Davidson Wildcats,UNCW Seahawks,11/14/2017
Duquesne Dukes,VMI Keydets,11/14/2017
Fairfield Stags,Loyola Maryland Greyhounds,11/14/2017
Furman Paladins,Elon Phoenix,11/14/2017
Lehigh Mountain Hawks,Monmouth Hawks,11/14/2017
Mercer Bears,Jackson State Tigers,11/14/2017
Miami (OH) RedHawks,Wright State Raiders,11/14/2017
Toledo Rockets,Ohio Northern Polar Bears,11/14/2017
Yale Bulldogs,South Carolina State Bulldogs,11/14/2017
NJIT Highlanders,Lafayette Leopards,11/14/2017
Longwood Lancers,Columbia Lions,11/14/2017
Sam Houston State Bearkats,Hardin-Simmons Cowboys,11/14/2017
Youngstown State Penguins,Franciscan University Barons,11/14/2017
Bradley Braves,Delaware Fightin' Blue Hens,11/14/2017
Houston Baptist Huskies,Arlington Baptist Patriots,11/14/2017
Lamar Cardinals,Coastal Carolina Chanticleers,11/14/2017
Northern Illinois Huskies,Green Bay Phoenix,11/14/2017
Louisiana Ragin' Cajuns,Louisiana College Wildcats,11/14/2017
South Dakota State Jackrabbits,Alabama State Hornets,11/14/2017
Chicago State Cougars,Silver Lake Lakers,11/14/2017
Colorado State Rams,Winthrop Eagles,11/14/2017
Idaho State Bengals,Utah Valley Wolverines,11/14/2017
New Mexico Lobos,Omaha Mavericks,11/14/2017
Weber State Wildcats,West Coast Baptist Eagles,11/14/2017
UC Irvine Anteaters,Chapman Panthers,11/14/2017
Long Beach State 49ers,San Francisco State Gators,11/14/2017
Pepperdine Waves,Cal Lutheran Kingsmen,11/14/2017
Sacramento State Hornets,Notre Dame de Namur Argonauts,11/14/2017
Portland Pilots,Walla Walla University Wolves,11/14/2017
Portland State Vikings,Willamette Bearcats,11/14/2017
Savannah State Tigers,Middle Georgia State Knights,11/15/2017
Missouri State Bears,Southern University Jaguars,11/15/2017
Buffalo Bulls,Jacksonville State Gamecocks,11/15/2017
Fairleigh Dickinson Knights,FDU-Florham Devils,11/15/2017
LIU Brooklyn Blackbirds,College of New Rochelle Blue Angels,11/15/2017
Manhattan Jaspers,St. Francis Brooklyn Terriers,11/15/2017
UNCG Spartans,North Carolina Wesleyan Battling Bishops,11/15/2017
North Carolina A&T Aggies,Citadel Bulldogs,11/15/2017
Penn Quakers,Navy Midshipmen,11/15/2017
Princeton Tigers,BYU Cougars,11/15/2017
Rider Broncs,Hartford Hawks,11/15/2017
Western Carolina Catamounts,Hiwassee College Tigers,11/15/2017
William & Mary Tribe,Hampton Pirates,11/15/2017
Fort Wayne Mastodons,Delaware State Hornets,11/15/2017
Charleston Southern Buccaneers,Columbia International Rams,11/15/2017
Massachusetts-Lowell River Hawks,Marist Red Foxes,11/15/2017
Austin Peay Governors,Oakland City Mighty Oaks,11/15/2017
UNI Panthers,Wartburg Knights,11/15/2017
Stephen F. Austin Lumberjacks,St. Edwards Hilltoppers,11/15/2017
UT Martin Skyhawks,North Carolina Central Eagles,11/15/2017
Western Illinois Leathernecks,Eastern Illinois Panthers,11/15/2017
SIUE Cougars,Valparaiso Crusaders,11/15/2017
Texas A&M-Corpus Christi Islanders,Texas-Rio Grande Valley Vaqueros,11/15/2017
Utah State Aggies,Mississippi Valley State Delta Devils,11/15/2017
Cal Poly Mustangs,Holy Names Hawks,11/15/2017
Loyola Marymount Lions,UC Riverside Highlanders,11/15/2017
UNLV Runnin' Rebels,Prairie View A&M Panthers,11/15/2017
San Diego Toreros,Robert Morris Colonials,11/15/2017
Santa Clara Broncos,Nevada Wolf Pack,11/15/2017
Montana State Bobcats,Montana-Western Bulldogs,11/15/2017
Pacific Tigers,UC Davis Aggies,11/15/2017
Colgate Raiders,Cornell Big Red,11/16/2017
Denver Pioneers,Johnson & Wales (CO) Wildcats,11/16/2017
Eastern Kentucky Colonels,Kentucky State Thorobreds,11/16/2017
Eastern Michigan Eagles,Arkansas State Red Wolves,11/16/2017
Georgia Southern Eagles,Bluefield State Big Blues,11/16/2017
George Mason Patriots,Binghamton Bearcats,11/16/2017
Kent State Golden Flashes,Ohio Christian Trailblazers,11/16/2017
La Salle Explorers,South Alabama Jaguars,11/16/2017
UMBC Retrievers,Central Pennsylvania College Knights,11/16/2017
Morgan State Bears,Lincoln (PA) Lions,11/16/2017
Chattanooga Mocs,Hiwassee College Tigers,11/16/2017
Tennessee Tech Golden Eagles,Boyce Bulldogs,11/16/2017
Kennesaw State Owls,Piedmont Lions,11/16/2017
Holy Cross Crusaders,Harvard Crimson,11/16/2017
Hofstra Pride,Dayton Flyers,11/16/2017
Abilene Christian Wildcats,Howard Payne Yellow Jackets,11/16/2017
Evansville Aces,Southeast Missouri State Redhawks,11/16/2017
UIC Flames,Delaware State Hornets,11/16/2017
UMKC Kangaroos,Loyola Chicago Ramblers,11/16/2017
Louisiana-Monroe Warhawks,Southeastern Louisiana Lions,11/16/2017
Stephen F. Austin Lumberjacks,LeTourneau YellowJackets,11/16/2017
Troy Trojans,Brewton-Parker College Barons,11/16/2017
Southern Utah Thunderbirds,San Jose State Spartans,11/16/2017
Lamar Cardinals,Jarvis Christian Bulldogs,11/16/2017
Bradley Braves,Vermont Catamounts,11/17/2017
Liberty Flames,Mercer Bears,11/17/2017
Boise State Broncos,Illinois State Redbirds,11/17/2017
James Madison Dukes,Northern Kentucky Norse,11/17/2017
Louisiana Ragin' Cajuns,Savannah State Tigers,11/17/2017
Western Michigan Broncos,Appalachian State Mountaineers,11/17/2017
Ball State Cardinals,Stony Brook Seawolves,11/17/2017
Cleveland State Vikings,Coppin State Eagles,11/17/2017
Dayton Flyers,Ohio Bobcats,11/17/2017
Delaware Fightin' Blue Hens,Wesley College Wolverines,11/17/2017
Lehigh Mountain Hawks,Siena Saints,11/17/2017
Loyola Maryland Greyhounds,Towson Tigers,11/17/2017
UNCG Spartans,Ferrum Panthers,11/17/2017
North Carolina Central Eagles,Warren Wilson Owls,11/17/2017
Albany Great Danes,Yale Bulldogs,11/17/2017
Incarnate Word Cardinals,McMurry War Hawks,11/17/2017
Nicholls Colonels,Spring Hill Badgers,11/17/2017
Missouri State Bears,North Dakota State Bison,11/17/2017
Weber State Wildcats,Iona Gaels,11/17/2017
Green Bay Phoenix,Lakeland Muskies,11/17/2017
Eastern Illinois Panthers,IUPUI Jaguars,11/17/2017
LIU Brooklyn Blackbirds,Miami (OH) RedHawks,11/17/2017
New Mexico State Aggies,New Mexico Lobos,11/17/2017
Milwaukee Panthers,Concordia University-St. Paul Golden Bears,11/17/2017
UNLV Runnin' Rebels,Eastern Washington Eagles,11/17/2017
Pepperdine Waves,Northern Colorado Bears,11/17/2017
San Francisco Dons,Sacramento State Hornets,11/17/2017
San Diego State Aztecs,McNeese State Cowboys,11/17/2017
Penn Quakers,Penn State-Brandywine Nittany Lions,11/18/2017
UNI Panthers,Chicago State Cougars,11/18/2017
Central Michigan Chippewas,Eureka Red Devils,11/18/2017
Manhattan Jaspers,Harvard Crimson,11/18/2017
Stetson Hatters,SIUE Cougars,11/18/2017
VMI Keydets,Presbyterian Blue Hose,11/18/2017
Wofford Terriers,Bob Jones University Bruins,11/18/2017
Detroit Titans,Seattle Redhawks,11/18/2017
Eastern Michigan Eagles,Howard Bison,11/18/2017
Fairleigh Dickinson Knights,Kean Cougars,11/18/2017
George Washington Colonials,Hampton Pirates,11/18/2017
Wagner Seahawks,American University Eagles,11/18/2017
Weber State Wildcats,James Madison Dukes,11/18/2017
High Point Panthers,Citadel Bulldogs,11/18/2017
USC Upstate Spartans,Charleston Southern Buccaneers,11/18/2017
Gardner-Webb Runnin' Bulldogs,Warren Wilson Owls,11/18/2017
Longwood Lancers,Saint Francis U Red Flash,11/18/2017
Evansville Aces,Binghamton Bearcats,11/18/2017
Elon Phoenix,Concordia University-St. Paul Golden Bears,11/18/2017
UIC Flames,Fort Wayne Mastodons,11/18/2017
Mount St. Mary's Mountaineers,North Florida Ospreys,11/18/2017
St. Bonaventure Bonnies,Jackson State Tigers,11/18/2017
Winthrop Eagles,Central Pennsylvania College Knights,11/18/2017
Bryant Bulldogs,Navy Midshipmen,11/18/2017
Belmont Bruins,Houston Baptist Huskies,11/18/2017
Coastal Carolina Chanticleers,Vermont Catamounts,11/18/2017
Cal State Fullerton Titans,Bethesda Flames,11/18/2017
Maine Black Bears,South Alabama Jaguars,11/18/2017
Stephen F. Austin Lumberjacks,Howard Payne Yellow Jackets,11/18/2017
Utah Valley Wolverines,UC Davis Aggies,11/18/2017
Hartford Hawks,LIU Brooklyn Blackbirds,11/18/2017
Texas State Bobcats,Texas-Rio Grande Valley Vaqueros,11/18/2017
Bowling Green Falcons,FGCU Eagles,11/18/2017
Drexel Dragons,Mercer Bears,11/18/2017
George Mason Patriots,CSUN Matadors,11/18/2017
Jacksonville Dolphins,North Carolina A&T Aggies,11/18/2017
Akron Zips,UT Martin Skyhawks,11/18/2017
Canisius Golden Griffins,Youngstown State Penguins,11/18/2017
Marist Red Foxes,Army West Point Black Knights,11/18/2017
UNCW Seahawks,Campbell Fighting Camels,11/18/2017
Saint Joseph's Hawks,Princeton Tigers,11/18/2017
Tennessee Tech Golden Eagles,Kennesaw State Owls,11/18/2017
Toledo Rockets,Oakland Golden Grizzlies,11/18/2017
Wright State Raiders,Murray State Racers,11/18/2017
UC Riverside Highlanders,Portland State Vikings,11/18/2017
Saint Peter's Peacocks,Sacred Heart Pioneers,11/18/2017
Iona Gaels,Northern Kentucky Norse,11/18/2017
Southern Illinois Salukis,Illinois-Springfield Prairie Stars,11/18/2017
Western Illinois Leathernecks,Calvary Warriors,11/18/2017
South Dakota Coyotes,Grambling State Tigers,11/18/2017
Grand Canyon Antelopes,Little Rock Trojans,11/18/2017
BYU Cougars,UT Arlington Mavericks,11/18/2017
Idaho Vandals,Sam Houston State Bearkats,11/18/2017
Pacific Tigers,Nevada Wolf Pack,11/18/2017
San Diego Toreros,Norfolk State Spartans,11/18/2017
Santa Clara Broncos,Cal Poly Mustangs,11/18/2017
Liberty Flames,Quinnipiac Bobcats,11/19/2017
Massachusetts Minutemen,Niagara Purple Eagles,11/19/2017
Sacred Heart Pioneers,Maine Black Bears,11/19/2017
Ohio Bobcats,Indiana State Sycamores,11/19/2017
Rhode Island Rams,Holy Cross Crusaders,11/19/2017
St. Francis Brooklyn Terriers,Brown Bears,11/19/2017
Massachusetts-Lowell River Hawks,Cornell Big Red,11/19/2017
Belmont Bruins,Seattle Redhawks,11/19/2017
Colgate Raiders,UMBC Retrievers,11/19/2017
Lehigh Mountain Hawks,Eastern University Eagles,11/19/2017
Weber State Wildcats,Bradley Braves,11/19/2017
Wofford Terriers,North Florida Ospreys,11/19/2017
Yale Bulldogs,Curry Colonels,11/19/2017
Central Arkansas Bears,Alcorn State Braves,11/19/2017
Austin Peay Governors,UNC Asheville Bulldogs,11/19/2017
Kent State Golden Flashes,Mississippi Valley State Delta Devils,11/19/2017
Loyola Chicago Ramblers,Samford Bulldogs,11/19/2017
Lamar Cardinals,Bakersfield Roadrunners,11/19/2017
Valparaiso Crusaders,Southeastern Louisiana Lions,11/19/2017
North Carolina Central Eagles,Southern University Jaguars,11/19/2017
Houston Baptist Huskies,Detroit Titans,11/19/2017
Milwaukee Panthers,Elon Phoenix,11/19/2017
Iona Gaels,Coastal Carolina Chanticleers,11/19/2017
Duquesne Dukes,Robert Morris Colonials,11/19/2017
Drake Bulldogs,Drexel Dragons,11/19/2017
Loyola Marymount Lions,McNeese State Cowboys,11/19/2017
Portland Pilots,Oregon Tech Hustlin' Owls,11/19/2017
Saint Peter's Peacocks,South Alabama Jaguars,11/19/2017
Northern Kentucky Norse,Vermont Catamounts,11/19/2017
Miami (OH) RedHawks,Hartford Hawks,11/19/2017
Manhattan Jaspers,UMKC Kangaroos,11/20/2017
Charleston Southern Buccaneers,Toccoa Falls Eagles,11/20/2017
Missouri State Bears,Georgia Southern Eagles,11/20/2017
Eastern Kentucky Colonels,Prairie View A&M Panthers,11/20/2017
Wyoming Cowboys,South Dakota State Jackrabbits,11/20/2017
Eastern Washington Eagles,Georgia State Panthers,11/20/2017
Northern Illinois Huskies,Penn Quakers,11/20/2017
Savannah State Tigers,Jacksonville State Gamecocks,11/20/2017
Bowling Green Falcons,Lake Erie Storm,11/20/2017
Bucknell Bison,Siena Saints,11/20/2017
Campbell Fighting Camels,Johnson & Wales (NC) Wildcats,11/20/2017
East Tennessee State Buccaneers,Delaware State Hornets,11/20/2017
Florida A&M Rattlers,Albany State Golden Rams,11/20/2017
George Washington Colonials,Rider Broncs,11/20/2017
Jacksonville Dolphins,Webber International Warriors,11/20/2017
UNCG Spartans,Delaware Fightin' Blue Hens,11/20/2017
St. Bonaventure Bonnies,Maryland Eastern Shore Hawks,11/20/2017
Stetson Hatters,Ave Maria Gyrenes,11/20/2017
Wright State Raiders,Tiffin Dragons,11/20/2017
Albany Great Danes,SUNY-Oneonta Red Dragons,11/20/2017
USC Upstate Spartans,Paine Lions,11/20/2017
Chattanooga Mocs,Alabama State Hornets,11/20/2017
Arkansas State Red Wolves,Howard Bison,11/20/2017
Abilene Christian Wildcats,Lipscomb Bisons,11/20/2017
Montana Grizzlies,Oral Roberts Golden Eagles,11/20/2017
Utah Valley Wolverines,Eastern Oregon Mountaineers,11/20/2017
South Dakota Coyotes,Mount Marty Lancers,11/20/2017
Air Force Falcons,UAPB Golden Lions,11/20/2017
Grand Canyon Antelopes,Norfolk State Spartans,11/20/2017
San Diego Toreros,Little Rock Trojans,11/20/2017
Portland State Vikings,Utah State Aggies,11/20/2017
Pepperdine Waves,UC Santa Barbara Gauchos,11/20/2017
San Diego State Aztecs,Eastern Illinois Panthers,11/20/2017
Missouri State Bears,Manhattan Jaspers,11/21/2017
Winthrop Eagles,Mars Hill Lions,11/21/2017
Binghamton Bearcats,Montana State Bobcats,11/21/2017
Wyoming Cowboys,Louisiana Ragin' Cajuns,11/21/2017
Southeast Missouri State Redhawks,CSUN Matadors,11/21/2017
Delaware Fightin' Blue Hens,North Carolina Wesleyan Battling Bishops,11/21/2017
Gardner-Webb Runnin' Bulldogs,Brevard College Tornados,11/21/2017
Alabama State Hornets,Savannah State Tigers,11/21/2017
Georgia Southern Eagles,UMKC Kangaroos,11/21/2017
Citadel Bulldogs,Trinity Baptist Eagles,11/21/2017
Army West Point Black Knights,Columbia Lions,11/21/2017
Bethune-Cookman Wildcats,Grambling State Tigers,11/21/2017
Central Connecticut State Blue Devils,Coppin State Eagles,11/21/2017
Kent State Golden Flashes,Southeastern Louisiana Lions,11/21/2017
Loyola Maryland Greyhounds,Goucher Gophers,11/21/2017
Massachusetts Minutemen,Western Carolina Catamounts,11/21/2017
Morgan State Bears,Goldey-Beacom Lightning,11/21/2017
Mount St. Mary's Mountaineers,York (PA) Spartans,11/21/2017
New Hampshire Wildcats,American University Eagles,11/21/2017
North Florida Ospreys,Edward Waters Tigers,11/21/2017
Saint Francis U Red Flash,Franciscan University Barons,11/21/2017
VMI Keydets,Ohio Valley Fighting Scots,11/21/2017
Wagner Seahawks,Staten Island Dolphins,11/21/2017
William & Mary Tribe,Shenandoah Hornets,11/21/2017
Youngstown State Penguins,Westminster (PA) Titans,11/21/2017
IUPUI Jaguars,Morehead State Eagles,11/21/2017
UNCG Spartans,Longwood Lancers,11/21/2017
Chattanooga Mocs,Jacksonville State Gamecocks,11/21/2017
Towson Tigers,Penn Quakers,11/21/2017
North Carolina A&T Aggies,Mid-Atlantic Christian Mustangs,11/21/2017
Loyola Chicago Ramblers,Mississippi Valley State Delta Devils,11/21/2017
UC Santa Barbara Gauchos,Montana Grizzlies,11/21/2017
Tennessee State Tigers,Canisius Golden Griffins,11/21/2017
Valparaiso Crusaders,Samford Bulldogs,11/21/2017
High Point Panthers,Methodist Monarchs,11/21/2017
North Dakota Fighting Hawks,Northland LumberJacks,11/21/2017
South Carolina State Bulldogs,Central Arkansas Bears,11/21/2017
Chicago State Cougars,East-West University Phantoms,11/21/2017
Louisiana-Monroe Warhawks,Northwestern State Demons,11/21/2017
Fresno State Bulldogs,Evansville Aces,11/21/2017
Air Force Falcons,Pacific Tigers,11/21/2017
BYU Cougars,Niagara Purple Eagles,11/21/2017
New Mexico Lobos,Tennessee Tech Golden Eagles,11/21/2017
Northern Colorado Bears,Northern New Mexico Eagles,11/21/2017
UC Davis Aggies,Sacramento State Hornets,11/21/2017
Nevada Wolf Pack,Davidson Wildcats,11/21/2017
San Francisco Dons,Sonoma State Seawolves,11/21/2017
Southern Utah Thunderbirds,Benedictine Mesa Redhawks,11/21/2017
Pepperdine Waves,Oral Roberts Golden Eagles,11/21/2017
Northern Illinois Huskies,Manhattan Jaspers,11/22/2017
CSUN Matadors,Binghamton Bearcats,11/22/2017
Sacred Heart Pioneers,Mitchell Mariners,11/22/2017
Alcorn State Braves,Yale Bulldogs,11/22/2017
Eastern Washington Eagles,Eastern Kentucky Colonels,11/22/2017
Fairleigh Dickinson Knights,Holy Cross Crusaders,11/22/2017
Maine Black Bears,Boston University Terriers,11/22/2017
Buffalo Bulls,South Dakota State Jackrabbits,11/22/2017
Coastal Carolina Chanticleers,St. Andrews Presbyterian Knights,11/22/2017
Navy Midshipmen,Washington College Shoremen,11/22/2017
Southeast Missouri State Redhawks,Montana State Bobcats,11/22/2017
Longwood Lancers,Delaware Fightin' Blue Hens,11/22/2017
Massachusetts-Lowell River Hawks,LIU Brooklyn Blackbirds,11/22/2017
Austin Peay Governors,Bethel (TN) Wildcats,11/22/2017
Charleston Cougars,Cal Poly Mustangs,11/22/2017
James Madison Dukes,Appalachian State Mountaineers,11/22/2017
NJIT Highlanders,Kean Cougars,11/22/2017
Georgia State Panthers,Prairie View A&M Panthers,11/22/2017
Indiana State Sycamores,Missouri-St. Louis Tritons,11/22/2017
Penn Quakers,UMKC Kangaroos,11/22/2017
Richmond Spiders,Louisiana Ragin' Cajuns,11/22/2017
Fresno State Bulldogs,George Mason Patriots,11/22/2017
Stony Brook Seawolves,Brown Bears,11/22/2017
Sam Houston State Bearkats,Central Michigan Chippewas,11/22/2017
Bucknell Bison,Ball State Cardinals,11/22/2017
Dartmouth Big Green,Albany Great Danes,11/22/2017
East Tennessee State Buccaneers,Troy Trojans,11/22/2017
Elon Phoenix,Radford Highlanders,11/22/2017
UNC Asheville Bulldogs,Monmouth Hawks,11/22/2017
Princeton Tigers,Lafayette Leopards,11/22/2017
Vermont Catamounts,Maine-Fort Kent Bengals,11/22/2017
Towson Tigers,Georgia Southern Eagles,11/22/2017
Bradley Braves,Missouri Science & Technology Miners,11/22/2017
Southern University Jaguars,UT Martin Skyhawks,11/22/2017
Lamar Cardinals,Southern-New Orleans Knights,11/22/2017
Saint Louis Billikens,Detroit Titans,11/22/2017
SIUE Cougars,Western Illinois Leathernecks,11/22/2017
North Dakota State Bison,Florida A&M Rattlers,11/22/2017
Incarnate Word Cardinals,Loyola Marymount Lions,11/22/2017
South Alabama Jaguars,Stetson Hatters,11/22/2017
Illinois State Redbirds,Quincy Hawks,11/22/2017
New Mexico State Aggies,Colorado State Rams,11/22/2017
Santa Clara Broncos,Idaho Vandals,11/22/2017
San Jose State Spartans,Idaho State Bengals,11/22/2017
Texas State Bobcats,UAPB Golden Lions,11/22/2017
UC Riverside Highlanders,Western New Mexico Mustangs,11/22/2017
Alaska-Anchorage Seawolves,Bakersfield Roadrunners,11/23/2017
UMBC Retrievers,Chicago State Cougars,11/23/2017
Northern Arizona Lumberjacks,Hampton Pirates,11/23/2017
Nicholls Colonels,Presbyterian Blue Hose,11/23/2017
Sam Houston State Bearkats,Charleston Cougars,11/23/2017
UC Irvine Anteaters,Rider Broncs,11/23/2017
Alaska-Anchorage Seawolves,Santa Clara Broncos,11/24/2017
Sacramento State Hornets,San Diego State Aztecs,11/24/2017
Presbyterian Blue Hose,Chicago State Cougars,11/24/2017
Omaha Mavericks,Tennessee Tech Golden Eagles,11/24/2017
New Hampshire Wildcats,Furman Paladins,11/24/2017
UC Irvine Anteaters,Northern Arizona Lumberjacks,11/24/2017
Campbell Fighting Camels,Abilene Christian Wildcats,11/24/2017
Samford Bulldogs,Southeastern Louisiana Lions,11/24/2017
Jackson State Tigers,Maryland Eastern Shore Hawks,11/24/2017
UMBC Retrievers,Nicholls Colonels,11/24/2017
Hartford Hawks,Bryant Bulldogs,11/24/2017
New Orleans Privateers,Spring Hill Badgers,11/24/2017
Northeastern Huskies,Utah State Aggies,11/24/2017
Cornell Big Red,Toledo Rockets,11/24/2017
Navy Midshipmen,St. Francis Brooklyn Terriers,11/24/2017
Niagara Purple Eagles,Alabama A&M Bulldogs,11/24/2017
Saint Joseph's Hawks,Harvard Crimson,11/24/2017
Fairfield Stags,Jacksonville Dolphins,11/24/2017
Bowling Green Falcons,USC Upstate Spartans,11/24/2017
Cleveland State Vikings,Central Connecticut State Blue Devils,11/24/2017
Loyola Chicago Ramblers,UNCW Seahawks,11/24/2017
Robert Morris Colonials,Norfolk State Spartans,11/24/2017
Ohio Bobcats,Mount St. Mary's Mountaineers,11/24/2017
UT Arlington Mavericks,Western Carolina Catamounts,11/24/2017
Green Bay Phoenix,Florida A&M Rattlers,11/24/2017
Wright State Raiders,Gardner-Webb Runnin' Bulldogs,11/24/2017
FGCU Eagles,Denver Pioneers,11/24/2017
Valparaiso Crusaders,Kent State Golden Flashes,11/24/2017
Missouri State Bears,Evangel Crusaders,11/24/2017
Eastern Illinois Panthers,Fontbonne Griffins,11/24/2017
Colorado State Rams,Northwestern State Demons,11/24/2017
Youngstown State Penguins,Northern Colorado Bears,11/24/2017
Pacific Tigers,UAPB Golden Lions,11/24/2017
Central Michigan Chippewas,Cal Poly Mustangs,11/24/2017
Cal State Fullerton Titans,Sacramento State Hornets,11/24/2017
UC Santa Barbara Gauchos,Prairie View A&M Panthers,11/24/2017
Rider Broncs,Hampton Pirates,11/24/2017
Canisius Golden Griffins,Texas State Bobcats,11/24/2017
Bakersfield Roadrunners,Idaho Vandals,11/25/2017
Hawaii Rainbow Warriors,Nevada Wolf Pack,11/25/2017
